time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
436107.0,0.9723218381404876,0.1,12.08987,0.8379324,60.0,25837568.0,1577.0,0.56440234,0.3846236990297193,0.008097599
436368.0,0.965929325670004,0.1,20.222712,0.8424519,60.0,25853952.0,1578.0,0.5672267,0.3777582797925146,0.02093642
436638.0,0.9715264234691858,0.1,8.918831,0.8450552,60.0,25870336.0,1579.0,0.5686199,0.3756327373391953,0.0003349546
436948.0,0.9655190519988536,0.1,9.975507,0.8458989,59.0,25886720.0,1580.0,0.56901973,0.3785431790267889,0.00041576428
437206.0,0.9719760846346616,0.1,8.516506,0.844313,60.0,25903104.0,1581.0,0.5680705,0.3820163624579596,0.002789531
437482.0,0.974891658872366,0.1,6.874403,0.8454134,60.0,25919488.0,1582.0,0.5686429,0.3847534676090711,0.0025762315
437767.0,0.968340177088976,0.1,8.594689,0.8459505,59.0,25935872.0,1583.0,0.56881666,0.3876383052623079,-0.003284934
438035.0,0.9679188616573812,0.1,17.103416,0.84688795,60.0,25952256.0,1584.0,0.569252,0.394066970205549,0.002391317
438314.0,0.9574124291539192,0.1,13.111546,0.84804744,59.0,25968640.0,1585.0,0.5698703,0.3922360615856609,0.0022838209
438583.0,0.9629426896572112,0.1,13.736711,0.8474944,59.0,25985024.0,1586.0,0.5696023,0.3877213340908083,0.002303891
438826.0,0.9727889411151408,0.1,2.9238424,0.84851474,60.0,26001408.0,1587.0,0.57005244,0.3905038526222907,0.013813977
439119.0,0.960898231714964,0.1,9.108634,0.84936047,60.0,26017792.0,1588.0,0.57048565,0.3988397041522302,0.0052331015
439401.0,0.9612174667418004,0.1,5.8177843,0.8487693,60.0,26034176.0,1589.0,0.57016075,0.3987307184733963,0.0003016591
439649.0,0.9680343568325044,0.1,14.146758,0.84859276,60.0,26050560.0,1590.0,0.57014,0.3988335556125076,-0.002606987
439921.0,0.9715599659830332,0.1,9.890001,0.84931946,60.0,26066944.0,1591.0,0.5705357,0.4032653426714169,0.0037307679
440190.0,0.9657235853374004,0.1,9.949164,0.8512726,60.0,26083328.0,1592.0,0.5714185,0.4002826048842839,0.0044069327
440461.0,0.9646312557160854,0.1,17.05486,0.8512384,60.0,26099712.0,1593.0,0.57139605,0.4014570416304327,0.009164209
440759.0,0.9672824777662754,0.1,21.219631,0.84878695,60.0,26116096.0,1594.0,0.5700995,0.400168301106416,0.0026560063
441015.0,0.9603063613176346,0.1,15.633945,0.8505163,60.0,26132480.0,1595.0,0.5708913,0.4037317692927695,0.0036302563
441298.0,0.9683781303465366,0.1,13.489638,0.849518,60.0,26148864.0,1596.0,0.57021827,0.4146812257983741,0.0025719376
441572.0,0.9679589495062828,0.1,7.2813663,0.8492958,60.0,26165248.0,1597.0,0.5701497,0.4158224855790187,-0.0018530143
441852.0,0.9667584337294102,0.1,25.67216,0.8509024,60.0,26181632.0,1598.0,0.5709058,0.4135738985221245,-0.0040658037
442114.0,0.9591832235455512,0.1,6.153827,0.85269415,60.0,26198016.0,1599.0,0.57201993,0.4160244298813406,0.00882693
442382.0,0.9715547617524862,0.1,9.641844,0.85307866,60.0,26214400.0,1600.0,0.5722926,0.4123464309965423,0.0027585607
442635.0,0.9667343609035016,0.1,17.88099,0.8547119,60.0,26230784.0,1601.0,0.5732299,0.4139568149329792,-0.0009931286
442894.0,0.9687298834323884,0.1,13.441953,0.85384274,60.0,26247168.0,1602.0,0.57290655,0.4133510169454654,-0.004062533
443145.0,0.9678890481591224,0.1,30.574217,0.85348666,60.0,26263552.0,1603.0,0.5728525,0.4063260524121457,0.0013918309
443403.0,0.9673020169138908,0.1,7.2610407,0.8543995,60.0,26279936.0,1604.0,0.57331735,0.4046174901703089,-0.0017519686
443673.0,0.9634558707475662,0.1,28.117527,0.85627,60.0,26296320.0,1605.0,0.5744069,0.4016547380916428,0.008186929
443963.0,0.9671108350157738,0.1,8.267575,0.85723513,60.0,26312704.0,1606.0,0.5750518,0.3997606212121024,0.0010335194
444250.0,0.961736124008894,0.1,16.435762,0.8565922,60.0,26329088.0,1607.0,0.57476515,0.3978021726335027,-0.00010261405
444534.0,0.9600649774074554,0.1,23.529617,0.85419005,60.0,26345472.0,1608.0,0.57322794,0.3955568606069544,0.0005875593
444802.0,0.9608781710267068,0.1,17.206133,0.8547775,60.0,26361856.0,1609.0,0.57349586,0.3929833516038822,0.0069977907
445103.0,0.9665930680930614,0.1,14.605483,0.8521786,60.0,26378240.0,1610.0,0.5719828,0.3909211298646585,0.0023360085
445366.0,0.9612442068755628,0.1,27.628206,0.8497793,60.0,26394624.0,1611.0,0.5705093,0.3856412469691171,-0.0050249877
445632.0,0.9641800671815872,0.1,5.788447,0.8502697,60.0,26411008.0,1612.0,0.57087535,0.387390693390517,-0.0039778687
445916.0,0.9642840288579464,0.1,25.193634,0.8480762,60.0,26427392.0,1613.0,0.569511,0.391571066753429,0.0029409043
446220.0,0.962933611124754,0.1,15.114143,0.84779054,60.0,26443776.0,1614.0,0.5691722,0.3919204315524601,0.0042668935
